"Length","Station","test","control","areatest","areacont","day","depth","samp_test","samp_cont","cpuetest","cpuecont","cpuetotal","prop","qratio","comp2","cpuetotalN","sl","septh","res"
135,"2",0,2,0.00867433979646673,0.00435847297569967,2,38.7,1,1,0,458.876310843465,458.876310843465,0,1,"FV1 vs FV2",45.8876310843465,1.1682348416045,-0.0199211297102876,-5.54891850876902
115,"S86",1,0,0.00961240448587988,0.00930994184248839,2,26.85,1,1,104.032243073931,0,104.032243073931,1,1,"FV1 vs FV2",10.4032243073931,0.0570227269368907,-1.89267367846661,4.44442944287151
90,"7",0,2,0.00621412067434581,0.00458035989197675,2,31.5,1,1,0,436.646911414827,436.646911414827,0,1,"FV1 vs FV2",43.6646911414827,-1.33199241639762,-1.15779609604324,-6.7433386984933
95,"7",3,1,0.00621412067434581,0.00458035989197675,2,31.5,1,1,482.771442206636,218.323455707413,701.09489791405,0.688596427734696,1,"FV1 vs FV2",70.109489791405,-1.05418938773072,-1.15779609604324,4.79871315116039
100,"7",3,1,0.00621412067434581,0.00458035989197675,2,31.5,1,1,482.771442206636,218.323455707413,701.09489791405,0.688596427734696,1,"FV1 vs FV2",70.109489791405,-0.776386359063818,-1.15779609604324,4.81603016751914
105,"7",1,6,0.00621412067434581,0.00458035989197675,2,31.5,1,1,160.923814068879,1309.94073424448,1470.86454831336,0.109407636653837,1,"FV1 vs FV2",147.086454831336,-0.498583330396915,-1.15779609604324,-7.88942939208992
110,"7",8,11,0.00621412067434581,0.00458035989197675,2,31.5,1,1,1287.39051255103,2401.55801278155,3688.94852533258,0.348985762124443,1,"FV1 vs FV2",368.894852533258,-0.220780301730012,-1.15779609604324,-1.87218184764622
115,"7",11,4,0.00621412067434581,0.00458035989197675,2,31.5,1,1,1770.16195475767,873.293822829654,2643.45577758732,0.669639329610156,1,"FV1 vs FV2",264.345577758732,0.0570227269368907,-1.15779609604324,9.28220967490561
120,"7",4,3,0.00621412067434581,0.00458035989197675,2,31.5,1,1,643.695256275515,654.97036712224,1298.66562339776,0.495658963075797,1,"FV1 vs FV2",129.866562339776,0.334825755603794,-1.15779609604324,2.86479889251749
125,"7",2,0,0.00621412067434581,0.00458035989197675,2,31.5,1,1,321.847628137758,0,321.847628137758,1,1,"FV1 vs FV2",32.1847628137758,0.612628784270697,-1.15779609604324,8.2145479581205
95,"T2",0,2,0.00748557203420609,0.00467507981955957,3,34.9,1,1,0,427.800182497936,427.800182497936,0,1,"FV1 vs FV2",42.7800182497936,-1.05418938773072,-0.620466250830459,-6.66164751930157
